Lemme,POS,frequence
avoir,VERB,4243
pouvoir,VERB,2264
faire,VERB,1928
dire,VERB,1680
ministre,NOUN,1635
question,NOUN,1504
aller,VERB,1253
tout,ADJ,1208
être,VERB,1159
premier,ADJ,1022
mesure,NOUN,1015
français,NOUN,991
président,NOUN,978
pays,NOUN,959
France,PROPN,932
vouloir,VERB,870
semaine,NOUN,857
permettre,VERB,795
prendre,VERB,793
gouvernement,NOUN,791
république,NOUN,791
personne,NOUN,785
conseil,NOUN,729
devoir,VERB,712
sanitaire,ADJ,688
nouveau,ADJ,674
autre,ADJ,635
dernier,ADJ,625
situation,NOUN,623
loi,NOUN,615
jour,NOUN,606
nombre,NOUN,585
savoir,VERB,558
cas,NOUN,558
fois,NOUN,553
pourcent,NOUN,548
sujet,NOUN,542
mettre,VERB,537
projet,NOUN,529
européen,ADJ,528
travail,NOUN,528
rappeler,VERB,517
agir,VERB,515
mois,NOUN,513
falloir,VERB,489
est,NOUN,484
texte,NOUN,481
état,NOUN,472
vaccination,NOUN,472
an,NOUN,467
parler,VERB,457
public,ADJ,454
présenter,VERB,445
national,ADJ,433
euro,NOUN,432
continuer,VERB,426
prochain,ADJ,417
tenir,VERB,412
territoire,NOUN,407
place,NOUN,407
important,ADJ,393
fait,NOUN,392
voir,VERB,392
point,NOUN,389
vaccin,NOUN,389
donner,VERB,388
grand,ADJ,384
heure,NOUN,381
année,NOUN,379
vacciner,VERB,379
occasion,NOUN,378
venir,VERB,372
épidémie,NOUN,365
certain,ADJ,363
penser,VERB,355
annoncer,VERB,349
moment,NOUN,346
crise,NOUN,342
pass,NOUN,342
décision,NOUN,341
matin,NOUN,339
million,NOUN,333
répondre,VERB,332
croire,VERB,329
début,NOUN,325
fin,NOUN,324
sécurité,NOUN,323
objectif,NOUN,323
concerner,VERB,321
merci,NOUN,320
passer,VERB,319
travailler,VERB,317
lieu,NOUN,317
deuxième,ADJ,309
-,PROPN,302
chose,NOUN,298
social,ADJ,293
santé,NOUN,286
niveau,NOUN,282
ensemble,NOUN,279
renforcer,VERB,276
exemple,NOUN,274
-,NOUN,271
cadre,NOUN,271
même,ADJ,270
réforme,NOUN,269
revenir,VERB,268
Bonjour,PROPN,268
rendre,VERB,267
entreprise,NOUN,267
face,NOUN,264
temps,NOUN,263
français,ADJ,259
protéger,VERB,258
service,NOUN,258
possible,ADJ,255
action,NOUN,254
dose,NOUN,251
supplémentaire,ADJ,251
manière,NOUN,244
virus,NOUN,243
ordonnance,NOUN,242
engagement,NOUN,241
savez,NOUN,238
campagne,NOUN,233
politique,ADJ,232
connaître,VERB,232
souhaiter,VERB,231
abord,NOUN,230
emploi,NOUN,228
vie,NOUN,225
enfant,NOUN,222
augmenter,VERB,219
compte,NOUN,217
fort,ADJ,217
école,NOUN,217
force,NOUN,217
porter,VERB,214
accord,NOUN,213
engager,VERB,212
nécessaire,ADJ,211
